= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MuonRecoResFD                 (-1) | -9.44        | 0.0443    | -9.06     | -0.169      | 0.0106    | -1.09     | -0.00604  | 0.827     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.827
ChargedHadRecoUncorrInvSqrtFD (-1) | 4.28         | -0.0167   | 0.477     | 0.507       | 0.00649   | 0.334     | 0.0839    | 2.89      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.89
RecoEnergyInvSqrtFD           (-1) | 3.05         | -0.00751  | 0         | 0.604       | 0.0155    | 0         | 0.0838    | 2.35      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.35
ChargedHadRecoUncorrFD        (-1) | 2.86         | -0.0134   | 0.33      | 0.257       | 0.00568   | 0.176     | 0.0839    | 2.02      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.02
EMRecoUncorrInvSqrtFD         (-1) | 2.77         | -0.00743  | 0.0457    | 0.434       | 0.0136    | 0.193     | 2.07e-06  | 2.09      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.09
RecoEnergyScaleFD             ( 1) | -2.21        | -0.00213  | 0         | -0.431      | -0.00511  | 0         | 0         | -1.77     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -1.77
EMRecoUncorrFD                (-1) | 1.96         | 0.000751  | 0.0243    | 0.353       | 0.00926   | 0.158     | 9.8e-07   | 1.42      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.42
ChargedHadRecoUncorrSqrtFD    (-1) | 1.91         | -0.00569  | 0.181     | 0.257       | 0.00523   | 0.0878    | 0.0839    | 1.3       | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.3
EMRecoResFD                   ( 1) | -1.85        | 0.168     | 0         | -0.528      | -0.00655  | 0.0351    | 0         | -1.52     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -1.52
ERecoScaleMuLArInvSqrtND      (-1) | -1.78        | 0         | 0         | 0           | 0         | 0         | 0         | -1.78     | -0.176    | 0         | 0         | 0         | -1.62     | 0         | 0         | 0
ChargedHadRecoUncorrInvSqrtND (-1) | -1.64        | 0         | 0         | 0           | 0         | 0         | 0         | -1.64     | 0.0134    | -0.208    | 9.73e-05  | 0         | -1.45     | 0         | 0         | 0
ERecoScaleMuLArND             ( 1) | 1.54         | 0         | 0         | 0           | 0         | 0         | 0         | 1.54      | -0.00125  | 0         | 0         | 0         | 1.55      | 0         | 0         | 0
ERecoScaleMuLArSqrtND         ( 1) | 1.29         | 0         | 0         | 0           | 0         | 0         | 0         | 1.29      | 0.108     | 0         | 0         | 0         | 1.18      | 0         | 0         | 0
EMRecoUncorrSqrtFD            ( 1) | -1.1         | -0.00104  | -0.00665  | -0.258      | -0.00315  | -0.105    | -3.37e-07 | -0.725    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.725
ChargedHadRecoUncorrND        (-1) | -0.997       | 0         | 0         | 0           | 0         | 0         | 0         | -0.997    | 0.00863   | -0.158    | 9.51e-05  | 0         | -0.854    | 0         | 0         | 0
RecoEnergySqrtFD              ( 1) | -0.798       | -0.000842 | 0         | -0.177      | -0.000124 | 0         | 0         | -0.62     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.62
ChargedHadRecoResFD           ( 1) | -0.761       | -0.000352 | -0.238    | -0.177      | 0         | 0         | -1.2e-05  | -0.346    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.346
ChargedHadRecoUncorrSqrtND    (-1) | -0.636       | 0         | 0         | 0           | 0         | 0         | 0         | -0.636    | -0.0375   | -0.123    | 9.18e-05  | 0         | -0.477    | 0         | 0         | 0
RecoEnergyInvSqrtND           (-1) | -0.599       | 0         | 0         | 0           | 0         | 0         | 0         | -0.599    | 0.0254    | 0         | -0.000121 | 0         | -0.625    | 0         | 0         | 0
RecoEnergyScaleND             (-1) | -0.41        | 0         | 0         | 0           | 0         | 0         | 0         | -0.41     | -0.0238   | 0         | -0.000124 | 0         | -0.387    | 0         | 0         | 0
