= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)        | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MaCCQE                      ( 1) | 8.14         | -0.0105   | 5.67      | 1.15        | 0.0297    | 0         | 0.0168    | 1.28      | -0.356    | -0.158    | -0.158    | -0.158    | -0.317    | 0.00169   | 0.336     | 0.946
nuenumu_xsec_ratio          (-1) | 2.37         | 0.129     | 0         | 0.337       | 0.00658   | 0         | 0         | 1.9       | 2.9       | 2.9       | 2.9       | 2.9       | 2.9       | 2.9       | 1.69      | 3.11
BeRPA_D                     (-1) | -2.22        | 0.00418   | -1.48     | -0.272      | -0.00601  | 0         | -0.0026   | -0.46     | 0.0432    | 0.046     | 0.046     | 0.046     | 0.0808    | -0.0756   | -0.0735   | -0.255
flux_Nov17_13               ( 1) | 2.16         | 0.00266   | 1.11      | 0.936       | 0.0265    | 0.344     | 0.0699    | -0.33     | -0.199    | -0.082    | -0.00118  | 0.0305    | -0.0282   | -0.207    | 0.0814    | 0.0614
FrAbs_N                     ( 1) | 1.63         | -0.00858  | 0.478     | 0.217       | 0.000569  | 0.108     | 0.0105    | 0.829     | 0.0157    | -0.117    | -0.0575   | -0.0575   | -0.0153   | 0.525     | -0.0934   | 0.226
MvCCRES                     ( 1) | 1.49         | -0.0206   | 1.22      | 0.273       | 0.00767   | 0         | 0.0514    | -0.0421   | -0.00801  | -0.0129   | -0.0129   | -0.0129   | 0.029     | 0.314     | -0.183    | -0.242
FrAbs_pi                    (-1) | -1.35        | -0.00472  | -0.211    | -0.154      | -0.00534  | 0.111     | 0.0157    | -1.1      | 0.0673    | -0.0712   | 0.00847   | 0.00846   | 0.0818    | -0.496    | -0.0889   | -0.558
FrCEx_N                     (-1) | 1.26         | 0.0024    | -0.113    | 0.322       | 0.00655   | 0.0843    | -0.0713   | 1.03      | 0.0289    | -0.0602   | 0.00694   | 0.00697   | 0.0261    | 0.862     | 0.0951    | 0.106
BeRPA_B                     ( 1) | 1.08         | 0.00694   | 0.862     | 0.355       | 0.00979   | 0         | 0.00948   | -0.164    | -0.15     | -0.049    | -0.049    | -0.049    | -0.0833   | -0.429    | 0.203     | 0.102
E2p2h_A_nu                  ( 1) | -1.01        | -0.00635  | -0.0831   | -0.344      | 0         | 0         | -4.21e-06 | -0.572    | -0.113    | -0.113    | -0.113    | -0.113    | -0.0579   | -0.358    | -0.19     | -0.302
FrInel_N                    (-1) | 0.978        | -0.00767  | -0.00454  | 0.2         | -0.0115   | -0.0522   | 0.0111    | 0.842     | -0.092    | -0.0729   | -0.0525   | -0.0526   | -0.0267   | 0.984     | -0.0338   | -0.178
flux_Nov17_14               ( 1) | -0.96        | 0.0337    | -1.05     | 0.0446      | -0.0108   | -0.224    | -0.00818  | 0.251     | 0.0606    | 0.0524    | -0.00067  | 0.158     | -0.0313   | -0.18     | 0.0903    | 0.0965
FrInel_pi                   (-1) | 0.901        | 0.0136    | 0.0355    | -0.0452     | 0.00385   | -0.114    | -0.0279   | 1.04      | -0.0261   | 0.0582    | 0.025     | 0.025     | -0.0728   | 0.633     | 0.129     | 0.435
flux_Nov17_10               (-1) | -0.797       | 0.00189   | -0.506    | -0.207      | -0.00589  | -0.133    | -0.0165   | 0.0701    | 0.0403    | 0.0312    | 3.18e-05  | -0.00113  | 1.94e-09  | -3.12e-05 | -2.28e-07 | -2.25e-06
MaNCRES                     ( 1) | 0.785        | 0         | 0         | 0           | 0         | 1.11      | 0         | -0.325    | 0         | -0.325    | 0         | 0         | 0         | 0         | 0         | 0
flux_Nov17_16               (-1) | 0.694        | -0.0113   | 0.468     | 0.135       | 0.00395   | 0.181     | 0.025     | -0.108    | -0.0272   | -0.0436   | -0.000838 | -0.0283   | 0.00441   | 0.0222    | -0.0189   | -0.021
C12ToAr40_2p2hScaling_nu    (-1) | -0.691       | 0.000986  | -0.418    | -0.148      | 0         | 0         | -2.12e-05 | -0.126    | -0.0302   | -0.0302   | -0.0302   | -0.0302   | -0.0252   | -0.051    | -0.0688   | -0.071
nuenuebar_xsec_ratio        ( 1) | 0.685        | 0.0131    | 0         | 0.129       | -0.00562  | 0         | 0         | 0.548     | 0.497     | 0.497     | 0.497     | 0.497     | 0.497     | 0.497     | 0.524     | 0.522
flux_Nov17_4                (-1) | -0.656       | -0.00342  | -0.0833   | -0.211      | -0.00431  | -0.0549   | -0.0117   | -0.287    | 0.0405    | 0.0118    | 0.0011    | -0.432    | 0.00235   | 0.104     | -0.00448  | 0.00477
