= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
ChargedHadRecoUncorrInvSqrtFD (-1) | 5.31         | 0.0374    | 0.168     | 0.00125     | 0.0599    | 0.51      | 0.00395   | 4.53      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 4.53
ChargedHadRecoUncorrFD        (-1) | 3.94         | 0.0394    | 0.139     | 0.00104     | 0.0194    | 0.371     | 0.000607  | 3.37      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 3.37
MuonRecoResFD                 ( 1) | -3.78        | -0.718    | -1        | -0.00692    | -0.338    | -1.08     | -0.00135  | -0.643    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.643
ERecoScaleMuLArInvSqrtND      ( 1) | 2.98         | 0         | 0         | 0           | 0         | 0         | 0         | 2.98      | -0.0746   | 0         | 0         | 0         | 3.06      | 0         | 0         | 0
ERecoScaleMuLArInvSqrtFD      (-1) | 2.78         | -0.00973  | 0.00111   | 8.36e-06    | 0.049     | 0         | 0         | 2.74      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.74
ChargedHadRecoUncorrSqrtFD    (-1) | 2.43         | 0.02      | 0.107     | 0.000802    | 0.0194    | 0.247     | 0.000555  | 2.03      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.03
ERecoScaleMuLArND             ( 1) | 2.41         | 0         | 0         | 0           | 0         | 0         | 0         | 2.41      | 0.136     | 0         | 0         | 0         | 2.27      | 0         | 0         | 0
ChargedHadRecoUncorrInvSqrtND ( 1) | 2.13         | 0         | 0         | 0           | 0         | 0         | 0         | 2.13      | -0.208    | 0.217     | 0.000171  | 0         | 2.13      | 0         | 0         | 0
ERecoScaleMuLArFD             (-1) | 2.01         | -0.00898  | 0.00104   | 7.82e-06    | 0.0298    | 0         | 0         | 1.99      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.99
ERecoScaleMuLArSqrtND         ( 1) | 1.66         | 0         | 0         | 0           | 0         | 0         | 0         | 1.66      | 0.107     | 0         | 0         | 0         | 1.55      | 0         | 0         | 0
RecoEnergyInvSqrtFD           (-1) | 1.43         | 0.0429    | 0.000292  | 2.2e-06     | 0.0553    | 0         | 0.00231   | 1.33      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.33
ERecoScaleMuLArSqrtFD         (-1) | 1.25         | -0.00623  | 0.000716  | 5.4e-06     | 0.0298    | 0         | 0         | 1.22      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.22
ChargedHadRecoUncorrND        ( 1) | 1.18         | 0         | 0         | 0           | 0         | 0         | 0         | 1.18      | -0.0824   | 0.171     | 0.000174  | 0         | 1.09      | 0         | 0         | 0
RecoEnergyScaleFD             (-1) | 0.796        | 0.0269    | 0.000292  | 2.2e-06     | 0.0359    | 0         | 0.00226   | 0.73      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.73
RecoEnergyInvSqrtND           ( 1) | 0.753        | 0         | 0         | 0           | 0         | 0         | 0         | 0.753     | -0.11     | 0         | 0.000151  | 0         | 0.864     | 0         | 0         | 0
ChargedHadRecoUncorrSqrtND    ( 1) | 0.541        | 0         | 0         | 0           | 0         | 0         | 0         | 0.541     | -0.0674   | 0.118     | 8.7e-06   | 0         | 0.494     | 0         | 0         | 0
RecoEnergyScaleND             (-1) | -0.462       | 0         | 0         | 0           | 0         | 0         | 0         | -0.462    | 0.0068    | 0         | -5.69e-05 | 0         | -0.471    | 0         | 0         | 0
MuonRecoResND                 ( 1) | 0.275        | 0         | 0         | 0           | 0         | 0         | 0         | 0.275     | 0.0204    | 0.258     | -0.00409  | 0         | 9.29e-05  | 0         | 0         | 0
ChargedHadRecoResFD           ( 1) | -0.247       | -0.027    | -0.0348   | -0.000222   | 0         | -0.172    | -0.00167  | -0.011    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.011
