= Evis bin 1: 0 - 0.5GeV =
Syst name \ impact (%)         | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MaCCQE                         | 3.19         | 0.0832    | 1.58      | 0.0111      | 0.103     | 0         | 0         | 1.42      | -0.197    | 0         | 0         | 0         | -0.216    | 0.181     | 0.51      | 1.1
FrCEx_N                        | 2.2          | 0.0144    | -0.0589   | -0.000494   | 0.00876   | -0.0271   | 0.00127   | 2.26      | 0.444     | -0.0568   | 3.45e-05  | 0         | 0.039     | 1.79      | 0.0657    | -0.0494
FrAbs_pi                       | 1.58         | 0.0415    | 0.0524    | 0.000339    | 0.0538    | -0.229    | -0.00384  | 1.67      | -0.303    | 0.0255    | 1.04e-05  | 0         | -0.102    | 1.44      | -0.107    | 0.713
E2p2h_A_nu                     | -1.46        | 0.00302   | -0.0248   | -0.000187   | 0         | 0         | -6.34e-05 | -1.43     | 0         | 0         | 0         | 0         | 0.093     | -1.24     | 0.0319    | -0.301
FrInel_pi                      | -1.43        | -0.0577   | -0.0103   | -7.15e-05   | -0.0426   | 0.051     | 0.00553   | -1.38     | 0.331     | 0.0065    | -1.64e-05 | 0         | 0.148     | -1.28     | 0.0432    | -0.633
BeRPA_D                        | -0.942       | -0.0179   | -0.418    | -0.00295    | -0.0194   | 0         | 0         | -0.484    | -0.00465  | 0         | 0         | 0         | 0.0529    | -0.106    | -0.116    | -0.314
BeRPA_A                        | 0.797        | -0.0404   | -0.105    | -0.000701   | -0.0677   | 0         | 0         | 1.01      | 0.126     | 0         | 0         | 0         | 0.103     | 1.02      | -0.267    | 0.0286
FrAbs_N                        | 0.776        | -0.00211  | 0.0656    | 0.000484    | -0.00945  | 0.0681    | 0.000933  | 0.653     | 0.177     | 0.0488    | 1.5e-05   | 0         | 0.0558    | 0.0577    | -0.0828   | 0.398
flux_Nov17_13                  | -0.772       | -0.0289   | -0.295    | -0.00192    | -0.117    | -0.329    | -0.00566  | 0.00607   | 0.227     | 0.0329    | -2.42e-05 | -0.347    | 0.0464    | 0.241     | -0.0399   | -0.141
MaNCRES                        | 0.753        | 0         | 0         | 0           | 0         | 0.901     | 0         | -0.148    | 0         | -0.148    | 0         | 0         | 0         | 0         | 0         | 0
Theta_Delta2Npi                | 0.724        | 0.0305    | 0.0526    | 0.000342    | 0.0173    | 0.102     | 0.000942  | 0.52      | 0.127     | -0.0649   | 0         | 0         | 0.0158    | 0.597     | -0.081    | -0.0725
CCQEPauliSupViaKF              | 0.716        | -0.0422   | -0.0625   | -0.000392   | -0.0835   | 0         | -0.000205 | 0.905     | 0.184     | 0         | -0.000372 | 0         | 0.0906    | 0.8       | -0.244    | 0.0744
MvCCRES                        | 0.706        | 0.0386    | 0.315     | 0.00204     | 0.0471    | 0         | 0.00325   | 0.299     | 0.0293    | 0         | -1.55e-05 | 0         | 0.0886    | 0.464     | -0.249    | -0.0295
E2p2h_B_nu                     | -0.665       | -0.00076  | -0.0331   | -0.00025    | 0         | 0         | -7.64e-05 | -0.631    | 0         | 0         | 0         | 0         | 0.0417    | -0.561    | 0.0189    | -0.127
flux_Nov17_2                   | 0.616        | 0.0366    | 0.000522  | 5.86e-06    | 0.000337  | 0.000998  | 2.11e-05  | 0.577     | 0.0105    | -0.00052  | 2.83e-05  | 0.603     | 0.000897  | -0.0361   | -0.000353 | -0.00438
flux_Nov17_4                   | 0.612        | -0.0195   | 0.0226    | 0.00016     | 0.0164    | 0.0499    | 0.000863  | 0.541     | -0.0573   | -0.00983  | -2.85e-06 | 0.527     | -0.000518 | 0.0738    | 0.000167  | -0.00208
C12ToAr40_2p2hScaling_nu       | -0.482       | -0.0143   | -0.108    | -0.000818   | 0         | 0         | -0.000202 | -0.359    | 0         | 0         | 0         | 0         | 0.0201    | -0.337    | -0.00136  | -0.0387
BeRPA_B                        | -0.47        | -0.0238   | -0.237    | -0.00163    | -0.0402   | 0         | 0         | -0.167    | 0.0847    | 0         | 0         | 0         | 0.0814    | 0.0749    | -0.253    | -0.153
FrElas_N                       | 0.434        | -0.000804 | 0.143     | 0.00111     | -0.022    | 0.081     | 6.41e-05  | 0.232     | 0         | 0         | 0         | 0         | 0         | 0         | -0.16     | 0.392
flux_Nov17_0                   | -0.406       | -0.00283  | 0.00112   | 3.87e-06    | 0.000545  | 0.00073   | 2.18e-05  | -0.406    | 0.00432   | -0.002    | -9.8e-06  | -0.352    | 0.000188  | -0.0498   | 0.00024   | 0.00144
flux_Nov17_14                  | -0.404       | -0.0495   | -0.273    | -0.00178    | -0.0533   | -0.21     | -0.00176  | 0.185     | 0.0624    | 0.0235    | -0.000102 | 0.153     | -0.0451   | -0.194    | 0.0392    | 0.147
FrInel_N                       | -0.404       | -0.0175   | -0.0129   | -4.96e-05   | -0.0156   | 0.0207    | -0.000275 | -0.379    | -0.383    | 0.0615    | -9.27e-06 | 0         | 0.0365    | -0.181    | -0.0076   | 0.0989
flux_Nov17_12                  | 0.4          | -0.000716 | 0.0602    | 0.000452    | 0.00206   | 0.0832    | 0.00116   | 0.254     | 0.00378   | -0.00749  | 1.2e-05   | 0.29      | 0.0037    | -0.0247   | -0.00193  | -0.0152
flux_Nov17_7                   | -0.348       | 0.0189    | 0.000244  | 6.77e-06    | -0.000243 | 0.00113   | 1.87e-05  | -0.368    | 0.00128   | 0.00685   | 1.1e-05   | -0.296    | 0.000675  | -0.0774   | 0.000616  | -0.00049
NR_nu_n_NC_1Pi                 | 0.336        | 0         | 0         | 0           | 0         | 0.393     | 0         | -0.0571   | 0         | -0.0571   | 0         | 0         | 0         | 0         | 0         | 0
flux_Nov17_5                   | -0.335       | 0.0142    | -0.000847 | -7.84e-06   | 0.000356  | -0.000111 | 8.87e-07  | -0.348    | 0.00291   | 0.00713   | -7.89e-07 | -0.307    | 0.000742  | -0.0498   | 1.63e-05  | -0.000249
flux_Nov17_16                  | -0.279       | -0.01     | -0.13     | -0.001      | -0.00485  | -0.175    | -0.00261  | 0.0445    | 0.0236    | 0.0119    | 2.91e-05  | 0.0238    | -0.00815  | -0.0369   | 0.00526   | 0.0246
flux_Nov17_10                  | -0.258       | -0.0186   | -0.136    | -0.000933   | -0.0269   | -0.126    | -0.0017   | 0.0526    | 0.0457    | 0.0129    | -3.17e-05 | -0.00558  | -4.22e-09 | -0.00012  | -2.12e-06 | -5.38e-06
flux_Nov17_9                   | 0.254        | 0.0456    | 0.141     | 0.00107     | -0.00243  | 0.0592    | 0.000439  | 0.00867   | 0.00995   | -0.00586  | 1.66e-05  | -0.0683   | 0.00386   | 0.0822    | -0.00777  | -0.0102
flux_Nov17_15                  | 0.239        | 0.0192    | 0.0748    | 0.000654    | -0.0379   | 0.00732   | -0.000325 | 0.175     | 0.0735    | -0.0126   | 0.000102  | 0.0781    | -0.00365  | 0.0178    | 0.000365  | 0.0207
NR_nu_p_NC_1Pi                 | -0.232       | 0         | 0         | 0           | 0         | -0.272    | 0         | 0.0404    | 0         | 0.0404    | 0         | 0         | 0         | 0         | 0         | 0
flux_Nov17_11                  | -0.218       | -0.00735  | -0.0654   | -0.000334   | -0.0282   | -0.00891  | 0.000207  | -0.108    | 0.0236    | 0.000802  | -1.72e-05 | -0.162    | -0.00234  | 0.025     | 0.00288   | 0.00225
flux_Nov17_17                  | 0.21         | -0.00989  | 0.0384    | 0.000327    | -0.0251   | 0.108     | 0.00196   | 0.0969    | 0.0628    | -0.00836  | -4.85e-05 | 0.0339    | -0.00175  | -0.00159  | 0.00318   | 0.0103
NR_nu_p_CC_3Pi                 | 0.204        | -0.018    | -0.0035   | -2.64e-05   | 0         | 0         | 0         | 0.225     | 0         | 0         | 0         | 0         | -0.0129   | 0.0598    | 0.0516    | 0.129
flux_Nov17_1                   | -0.181       | -0.0229   | -0.0452   | -0.00028    | -0.00663  | 0.00294   | 0.000279  | -0.109    | -0.00927  | -0.0022   | -1.76e-05 | -0.0883   | -0.00103  | -0.0135   | 0.000961  | 0.00145
VecFFCCQEshape                 | 0.175        | 0.000534  | -0.026    | -0.000195   | 0.00219   | 0         | 0         | 0.199     | 0.0396    | 0         | 0         | 0         | -0.0188   | 0.0224    | -0.012    | 0.167
flux_Nov17_21                  | -0.172       | -0.00484  | -0.0321   | -0.000194   | 0.00127   | -0.00627  | 4.5e-05   | -0.13     | -0.0213   | 0.00271   | 3.78e-05  | -0.119    | -0.000503 | 0.00742   | -7.77e-05 | 1.78e-05
flux_Nov17_18                  | -0.165       | -0.0241   | -0.118    | -0.000771   | -0.00877  | -0.0448   | -6.53e-05 | 0.0322    | -0.0141   | 0.0028    | -3.66e-07 | 0.061     | -0.00372  | -0.0228   | 0.00551   | 0.0034
flux_Nov17_3                   | -0.159       | -0.0765   | -0.00052  | -5.03e-06   | -0.00113  | -0.000473 | -2.75e-05 | -0.0799   | -0.00851  | -0.00109  | -2.86e-05 | -0.144    | 7.9e-05   | 0.0684    | -0.000478 | 0.000947
flux_Nov17_20                  | -0.154       | -0.0132   | -0.0692   | -0.000505   | -0.00515  | -0.0222   | 8.39e-05  | -0.0436   | 0.0136    | 0.00411   | 8.54e-06  | -0.0545   | -0.00468  | -0.0185   | 0.00499   | 0.0118
NR_nu_p_NC_2Pi                 | -0.152       | 0         | 0         | 0           | 0         | -0.174    | 0         | 0.0223    | 0         | 0.0223    | 0         | 0         | 0         | 0         | 0         | 0
MvNCRES                        | 0.148        | 0         | 0         | 0           | 0         | 0.192     | 0         | -0.0443   | 0         | -0.0443   | 0         | 0         | 0         | 0         | 0         | 0
flux_Nov17_19                  | -0.147       | -0.0197   | -0.0839   | -0.000541   | -0.0155   | -0.0214   | 0.000233  | -0.00658  | 0.0178    | 0.00222   | -1e-05    | 0.00131   | -0.0058   | -0.0405   | 0.00758   | 0.0109
NR_nu_n_NC_2Pi                 | -0.128       | 0         | 0         | 0           | 0         | -0.132    | 0         | 0.00401   | 0         | 0.00401   | 0         | 0         | 0         | 0         | 0         | 0
NR_nu_n_CC_2Pi                 | 0.119        | -0.0155   | -0.00876  | -6.6e-05    | 0         | 0         | 0         | 0.144     | 0         | 0         | -1.6e-06  | 0         | -0.00912  | -0.0849   | 0.082     | 0.16
NR_nu_p_CC_2Pi                 | 0.116        | -0.0236   | -0.00897  | -6.76e-05   | 0         | 0         | 0         | 0.149     | 0         | 0         | 0         | 0         | -0.0225   | -0.107    | 0.123     | 0.155
flux_Nov17_6                   | 0.0887       | -0.00717  | 0.0432    | 0.000326    | -0.000943 | 0.0125    | 5.18e-05  | 0.0408    | -0.00759  | -0.000564 | -2.21e-05 | -0.0633   | -0.000316 | 0.0968    | -0.000206 | 0.00541
flux_Nov17_22                  | -0.0836      | -0.00593  | -0.0198   | -0.000217   | 0.00356   | -0.0109   | -8.91e-06 | -0.0503   | 0.0147    | 0.00642   | 8.21e-06  | -0.0574   | -0.0042   | -0.0256   | 0.00379   | 0.0124
MaCCRES                        | 0.0829       | 0.0085    | 0.0518    | 0.000337    | 0.0109    | 0         | 0.000555  | 0.0108    | -0.0115   | 0         | -2.01e-06 | 0         | 0.0158    | 0.0624    | -0.0415   | -0.0143
NR_nubar_n_CC_1Pi              | -0.0716      | 0         | 0.00714   | 1.56e-05    | 0.00626   | 0         | 0         | -0.085    | -0.085    | 0         | -2.86e-06 | 0         | 0         | 0         | 0         | 0
NR_nubar_p_CC_1Pi              | -0.0689      | 0         | 0.00971   | 2.12e-05    | 0.027     | 0         | 0         | -0.106    | -0.106    | 0         | -3.51e-07 | 0         | 0         | 0         | 0         | 0
BhtBY                          | 0.0614       | 0.00571   | 0.00269   | 2.3e-05     | 0.00118   | 0.0407    | 0.00125   | 0.00981   | 0.000389  | -0.00181  | 3.44e-08  | 0         | 0.000633  | 0.0195    | -0.00374  | -0.0049
FrCEx_pi                       | 0.0601       | -0.00225  | 0.0205    | 0.00013     | 0.0129    | -0.0721   | 0.00088   | 0.1       | -0.0222   | 0.0171    | -1.86e-06 | 0         | 0.00911   | 0.0374    | 0.00627   | 0.0527
flux_Nov17_25                  | 0.0597       | 0.00101   | 0.0129    | 0.000135    | -0.0109   | 0.0275    | 0.000431  | 0.0286    | 0.016     | -0.0036   | 1.16e-05  | 0.0108    | 0.00122   | 0.00891   | -0.00115  | -0.00362
E2p2h_A_nubar                  | 0.0486       | 0         | 0.00114   | 2.48e-06    | 0.0441    | 0         | 0         | 0.00342   | 0.00342   | 0         | 0         | 0         | 0         | 0         | 0         | 0
NR_nu_p_NC_3Pi                 | 0.0436       | 0         | 0         | 0           | 0         | 0.0637    | 0         | -0.0201   | 0         | -0.0201   | 0         | 0         | 0         | 0         | 0         | 0
AhtBY                          | -0.041       | -0.00401  | -0.00293  | -2.28e-05   | -0.00128  | -0.0266   | -0.000744 | -0.00545  | -0.000213 | 0.00105   | -3.34e-08 | 0         | -0.00041  | -0.0121   | 0.00201   | 0.00433
flux_Nov17_8                   | -0.0336      | -0.0362   | -0.00205  | -6.77e-06   | -0.00181  | -0.00274  | -3.78e-05 | 0.00926   | -0.00207  | 6.49e-05  | -1.22e-06 | -0.0291   | -0.000267 | 0.0333    | -0.000158 | 0.00199
CV1uBY                         | 0.0314       | 0.00292   | 0.00422   | 3.01e-05    | 0.00119   | 0.0256    | 0.000874  | -0.00345  | 0.000507  | -0.000459 | -2.31e-07 | 0         | 0.000382  | 0.00612   | -0.00239  | -0.00753
NR_nu_np_CC_1Pi                | -0.0304      | -0.00424  | -0.00556  | -4.19e-05   | 0         | 0         | -0.000659 | -0.0199   | 0         | 0         | 6.41e-08  | 0         | -0.00635  | -0.0388   | 0.00764   | 0.0176
CV2uBY                         | -0.0275      | -0.00255  | -0.00368  | -2.63e-05   | -0.00104  | -0.0224   | -0.000764 | 0.00298   | -0.000443 | 0.000401  | 2.03e-07  | 0         | -0.000333 | -0.00536  | 0.0021    | 0.00666
NR_nubar_n_CC_2Pi              | -0.0263      | 0         | -0.00295  | -6.45e-06   | -0.0277   | 0         | 0         | 0.00434   | 0.00434   | 0         | 0         | 0         | 0         | 0         | 0         | 0
