= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear  | XsecCorr
MaCCQE                        ( 1) | 6.44         | 2.28      | 2         | 1.54        | 0.0366    | 0         | 0.0206    | 0.565     | -0.136    | 0         | 0         | 0         | -0.3      | -0.864    | 0.523     | 1.53      | -0.163
nuenumu_xsec_ratio            (-1) | 2.86         | 0.757     | 0         | 0.416       | 0.00812   | 0         | 0         | 1.68      | 0         | 0         | -2.87e-05 | 0         | 0         | 0         | -1.02     | 0.198     | 2.58
E2p2h_A_nu                    ( 1) | -1.92        | -1.28     | -0.0365   | -0.502      | 0         | 0         | -6.35e-06 | -0.106    | 0         | 0         | 0         | 0         | 0.0606    | 0.0986    | -0.087    | -0.117    | -0.0621
BeRPA_D                       (-1) | -1.61        | -0.502    | -0.538    | -0.358      | -0.00742  | 0         | -0.00318  | -0.199    | 0.0212    | 0         | 0         | 0         | 0.0735    | 0.234     | -0.131    | -0.438    | 0.0438
FrAbs_pi                      (-1) | -1.6         | -0.313    | -0.0543   | -0.19       | -0.00651  | 0.053     | 0.0194    | -1.11     | 0.036     | -0.124    | 2.22e-05  | 0         | 0.083     | -0.195    | -0.129    | -0.738    | -0.0457
BeRPA_B                       ( 1) | 1.54         | 0.939     | 0.353     | 0.459       | 0.0121    | 0         | 0.0116    | -0.232    | -0.0569   | 0         | 0         | 0         | -0.0288   | -0.488    | 0.243     | 0.153     | -0.0516
BeRPA_A                       ( 1) | 1.14         | 0.793     | 0.176     | 0.509       | 0.013     | 0         | 0.0257    | -0.38     | -0.0904   | 0         | 0         | 0         | -0.0117   | -0.586    | 0.257     | 0.0741    | -0.0213
MvCCRES                       ( 1) | 1.03         | 0.133     | 0.34      | 0.337       | 0.00955   | 0         | 0.0635    | 0.15      | -0.0382   | 0         | -3.72e-06 | 0         | 0.0181    | 0.635     | -0.148    | -0.292    | -0.0191
FrInel_pi                     ( 1) | -1.01        | -0.219    | -0.00925  | -0.0024     | -0.00491  | 0.0617    | 0.0344    | -0.875    | 0.0247    | -0.0563   | 3.81e-05  | 0         | 0.101     | -0.211    | -0.104    | -0.546    | -0.0873
E2p2h_B_nu                    ( 1) | -0.96        | -0.595    | -0.0535   | -0.267      | 0         | 0         | -9.31e-06 | -0.0446   | 0         | 0         | 0         | 0         | 0.0234    | 0.0525    | -0.0451   | -0.0459   | -0.0298
nuenuebar_xsec_ratio          ( 1) | 0.948        | 0.256     | 0         | 0.166       | -0.00696  | 0         | 0         | 0.534     | 0         | 0         | -5.6e-07  | 0         | 0         | 0         | 0.0234    | 0.0243    | 0.486
CCQEPauliSupViaKF             ( 1) | -0.919       | -0.639    | -0.118    | -0.469      | -0.0152   | 0         | -0.0202   | 0.342     | 0.11      | 0         | 2.01e-05  | 0         | 0.0152    | 0.465     | -0.244    | -0.0302   | 0.0261
FrAbs_N                       (-1) | -0.773       | -0.108    | -0.173    | -0.316      | -0.000669 | -0.0365   | -0.013    | -0.126    | -0.0123   | 0.00734   | -1.44e-05 | 0         | -0.0994   | 0.131     | 0.0322    | -0.232    | 0.0483
FrCEx_N                       (-1) | 0.676        | -0.0387   | -0.0469   | 0.364       | 0.0081    | 0.0359    | -0.088    | 0.442     | 0.0169    | -0.00547  | 1.13e-05  | 0         | 0.0123    | 0.109     | 0.0865    | 0.186     | 0.0355
C12ToAr40_2p2hScaling_nu      ( 1) | 0.673        | 0.372     | 0.187     | 0.203       | 0         | 0         | 3.25e-05  | -0.0883   | 0         | 0         | 0         | 0         | -0.00042  | -0.154    | 0.049     | 0.00493   | 0.0127
FrCEx_pi                      (-1) | 0.374        | 0.0401    | 0.0327    | 0.128       | 0.00273   | 0.0123    | 0.00707   | 0.151     | -0.00577  | 0.00824   | 4.16e-06  | 0         | 0.00431   | -0.0168   | 0.0873    | 0.101     | -0.0268
NR_nu_n_CC_2Pi                (-1) | 0.28         | 0.00327   | -0.00475  | 0           | 0         | 0         | -8.26e-07 | 0.282     | 0         | 0         | -2.58e-08 | 0         | 0.00976   | -0.395    | 0.201     | 0.49      | -0.0171
Theta_Delta2Npi               ( 1) | 0.248        | -0.0211   | 0.0671    | 0.15        | -0.00194  | 0.0419    | 0.0455    | -0.034    | -0.0157   | -0.044    | 0         | 0         | 0.031     | 0.0649    | 0.0124    | -0.0879   | 0.0056
