= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear  | XsecCorr
MaCCQE                        ( 1) | 1.23         | 0.102     | 0.398     | 0.0106      | 0.101     | 0         | 0         | 0.619     | -0.224    | 0         | 0         | 0         | -0.32     | -0.478    | 0.576     | 1.08      | 0
CCQEPauliSupViaKF             ( 1) | 0.957        | 0.449     | -0.02     | -0.000496   | -0.0806   | 0         | -0.000198 | 0.61      | 0.156     | 0         | 0.000151  | 0         | 0.128     | 0.558     | -0.284    | 0.0548    | 0
BeRPA_A                       (-1) | 0.913        | 0.437     | -0.0323   | -0.000831   | -0.0656   | 0         | 0         | 0.575     | 0.129     | 0         | 0         | 0         | 0.142     | 0.61      | -0.31     | 0.00882   | 0
FrElas_N                      (-1) | 0.756        | 0.502     | 0.0452    | 0.00143     | -0.0131   | 0.0473    | 6.34e-05  | 0.173     | 0         | 0         | 0         | 0         | 0         | 0         | -0.194    | 0.367     | 0
FrAbs_pi                      ( 1) | 0.712        | 0.0654    | 0.0116    | 0.000322    | 0.0601    | -0.0802   | -0.00371  | 0.658     | -0.0263   | 0.0156    | 6.52e-06  | 0         | -0.121    | 0.239     | -0.126    | 0.676     | 0
FrAbs_N                       (-1) | -0.598       | -0.202    | -0.0249   | -0.00071    | 0.0108    | -0.0173   | -0.000937 | -0.362    | -0.0308   | 0.0152    | -4.05e-06 | 0         | -0.109    | 0.00665   | 0.106     | -0.35     | 0
FrInel_pi                     ( 1) | -0.578       | -0.043    | 0.000169  | -4.52e-05   | -0.0529   | 0.00813   | 0.00535   | -0.496    | 0.0325    | 0.0172    | -6.37e-06 | 0         | 0.171     | -0.17     | 0.0488    | -0.596    | 0
E2p2h_A_nu                    ( 1) | -0.472       | -0.157    | -0.00747  | -0.000214   | 0         | 0         | -6.14e-05 | -0.307    | 0         | 0         | 0         | 0         | 0.105     | -0.182    | 0.039     | -0.265    | 0
BeRPA_D                       (-1) | -0.433       | -0.1      | -0.108    | -0.00288    | -0.019    | 0         | 0         | -0.203    | 0.037     | 0         | 0         | 0         | 0.0771    | 0.117     | -0.129    | -0.304    | 0
FrCEx_N                       (-1) | 0.405        | -0.0646   | -0.0302   | -0.000901   | 0.0115    | -0.0103   | 0.00123   | 0.498     | -0.00769  | -0.00751  | 2.07e-05  | 0         | 0.0514    | 0.408     | 0.1       | -0.0506   | 0
MvCCRES                       ( 1) | 0.344        | 0.099     | 0.0686    | 0.00172     | 0.0475    | 0         | 0.00315   | 0.124     | -0.00508  | 0         | -7.93e-06 | 0         | 0.103     | 0.342     | -0.279    | -0.0331   | 0
MaNCRES                       ( 1) | 0.231        | 0         | 0         | 0           | 0         | 0.368     | 0         | -0.136    | 0         | -0.136    | 0         | 0         | 0         | 0         | 0         | 0         | 0
E2p2h_B_nu                    ( 1) | -0.211       | -0.0642   | -0.00897  | -0.000257   | 0         | 0         | -7.4e-05  | -0.138    | 0         | 0         | 0         | 0         | 0.0458    | -0.0948   | 0.0244    | -0.112    | 0
