= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear  | XsecCorr
MaCCQE                        ( 1) | 7.02         | -1.71     | 4.35      | 2.34        | 2.8       | 0         | 0.124     | -0.878    | -1.09     | 0         | 0         | 0         | -0.0646   | -0.168    | 0.103     | 0.433     | -0.0699
MvCCRES                       ( 1) | 2.48         | 0.00664   | 1.4       | 0.519       | 0.598     | 0         | 0.0237    | -0.0755   | -0.283    | 0         | 1.63e-06  | 0         | 0.0183    | 0.158     | -0.00901  | 0.0158    | 0.0302
nuenumu_xsec_ratio            (-1) | 2.21         | -1.04     | 0         | 0.855       | 1.03      | 0         | 0         | 1.37      | 0         | 0         | 0         | 0         | 0         | 0         | -0.683    | -0.0758   | 2.21
BeRPA_D                       (-1) | -2.16        | 0.181     | -1.24     | -0.594      | -0.616    | 0         | -0.0198   | 0.126     | 0.242     | 0         | 0         | 0         | 0.00965   | 0.0018    | -0.00828  | -0.122    | 0.00391
E2p2h_A_nu                    ( 1) | -1.43        | 0         | -0.02     | -0.531      | -1.27     | 0         | 0         | 0.396     | 0.396     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
BeRPA_B                       ( 1) | 1.32         | -0.736    | 0.907     | 0.64        | 0.956     | 0         | 0.00566   | -0.452    | -0.366    | 0         | 0         | 0         | -0.0275   | -0.232    | 0.0722    | 0.14      | -0.0373
FrAbs_pi                      ( 1) | 1.2          | -0.0122   | 0.391     | 0.384       | 0.382     | -0.199    | -0.0359   | 0.287     | -0.0925   | 0.0987    | -4.54e-06 | 0         | -0.0735   | 0.183     | 0.0318    | 0.285     | -0.148
MaNCRES                       ( 1) | 1.1          | 0         | 0         | 0           | 0         | 1.51      | 0         | -0.414    | 0         | -0.414    | 0         | 0         | 0         | 0         | 0         | 0         | 0
FrAbs_N                       (-1) | -0.992       | 0.0282    | -0.481    | 0.0149      | -0.197    | -0.164    | -0.0796   | -0.114    | 0.0711    | -0.0204   | -1.69e-06 | 0         | -0.0102   | 0.00336   | -0.0662   | -0.143    | 0.0525
FrInel_pi                     (-1) | 0.851        | 0.0175    | 0.357     | 0.286       | 0.301     | -0.213    | 0.0263    | 0.0767    | -0.0511   | 0.0275    | -3.47e-06 | 0         | -0.104    | 0.128     | 0.0209    | 0.222     | -0.166
E2p2h_A_nubar                 ( 1) | 0.739        | 1.52      | -0.0709   | -0.686      | 0         | 0         | 0         | -0.0191   | 0         | 0         | 0         | 0         | 0.079     | 0.00218   | -0.033    | -0.162    | 0.0962
E2p2h_B_nu                    ( 1) | -0.735       | 0         | -0.0371   | -0.265      | -0.63     | 0         | 0         | 0.197     | 0.197     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
FrElas_N                      (-1) | 0.722        | -0.148    | 0.293     | 0.243       | 0.202     | -0.0396   | -0.00754  | 0.179     | 0         | 0         | 0         | 0         | 0         | 0         | 0.097     | -0.0462   | 0.128
C12ToAr40_2p2hScaling_nu      (-1) | -0.646       | 0         | -0.172    | -0.207      | -0.442    | 0         | 0         | 0.175     | 0.175     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
CCQEPauliSupViaKF             ( 1) | 0.565        | 1.64      | -0.346    | -0.782      | -0.82     | 0         | -0.0262   | 0.899     | 0.378     | 0         | -1.4e-06  | 0         | 0.073     | 0.676     | -0.179    | -0.13     | 0.078
FrInel_N                      ( 1) | -0.531       | 0.054     | -0.137    | 0.183       | 0.042     | -0.262    | -0.105    | -0.307    | -0.056    | -0.0533   | -1.2e-06  | 0         | -0.00475  | 0.0362    | -0.0803   | -0.115    | -0.0342
