= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear  | XsecCorr
MuonRecoResFD                 (-1) | -25.9        | 0.0152    | -23.8     | 0.261       | 0.0776    | -2.56     | 0         | 0.0923    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0923    | 0
MaCCQE                        ( 1) | 10.8         | -0.199    | 8.22      | 1.38        | 1.63      | 0         | 0.0732    | -0.303    | -0.439    | 0         | 0         | 0         | -0.0211   | -0.0465   | 0.0445    | 0.194     | -0.0267
flux_Nov17_13                 ( 1) | 4.89         | -0.0127   | 2.5       | 0.968       | 1.35      | 0.623     | 0.0611    | -0.608    | -0.384    | -0.0521   | 1.34e-06  | -0.183    | -0.00483  | -0.0129   | 0.0069    | 0.0158    | -0.00109
MvCCRES                       ( 1) | 3.89         | 0.00115   | 3.22      | 0.306       | 0.351     | 0         | 0.0139    | -0.00257  | -0.114    | 0         | 1.56e-06  | 0         | 0.00667   | 0.119     | -0.00531  | -0.02     | 0.0122
flux_Nov17_14                 ( 1) | -3.04        | 0.0609    | -2.41     | 0.0405      | -0.39     | -0.412    | -0.0178   | 0.0872    | 0.135     | 0.029     | -9.06e-07 | -0.087    | -0.00555  | -0.0105   | 0.00511   | 0.0207    | 0.000877
BeRPA_D                       (-1) | -2.97        | 0.016     | -2.3      | -0.35       | -0.359    | 0         | -0.0117   | 0.0374    | 0.0979    | 0         | 0         | 0         | 0.00315   | -0.00535  | -0.00471  | -0.0549   | 0.00198
RecoEnergyInvSqrtFD           ( 1) | -2.42        | 0.0258    | -0.374    | -0.505      | -0.609    | -0.324    | -0.0156   | -0.616    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.616    | 0
ChargedHadRecoUncorrInvSqrtFD ( 1) | -2.39        | -0.00203  | -0.753    | -0.38       | -0.614    | -0.324    | -0.0293   | -0.291    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.291    | 0
BeRPA_B                       ( 1) | 2.34         | -0.0877   | 1.65      | 0.377       | 0.556     | 0         | 0.00333   | -0.149    | -0.144    | 0         | 0         | 0         | -0.00895  | -0.0717   | 0.0281    | 0.0621    | -0.014
MaNCRES                       ( 1) | 1.77         | 0         | 0         | 0           | 0         | 1.99      | 0         | -0.228    | 0         | -0.228    | 0         | 0         | 0         | 0         | 0         | 0         | 0
EMRecoUncorrInvSqrtFD         (-1) | 1.69         | -0.0284   | 0.107     | 0.383       | 0.469     | 0.177     | 0         | 0.584     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.584     | 0
RecoEnergyScaleFD             ( 1) | -1.64        | 0.0195    | -0.306    | -0.25       | -0.367    | -0.265    | -0.0156   | -0.456    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.456    | 0
ChargedHadRecoUncorrFD        (-1) | 1.62         | -0.00276  | 0.744     | 0.255       | 0.334     | 0.147     | 0         | 0.144     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.144     | 0
flux_Nov17_10                 ( 1) | 1.58         | 0.00246   | 0.966     | 0.217       | 0.272     | 0.242     | 0.0169    | -0.137    | -0.0805   | -0.0199   | 5.14e-07  | -0.0371   | -1.88e-08 | 2.46e-06  | 3.88e-08  | 2.59e-07  | -2.88e-08
nuenumu_xsec_ratio            (-1) | 1.41         | -0.134    | 0         | 0.503       | 0.595     | 0         | 0         | 0.442     | 0         | 0         | 0         | 0         | 0         | 0         | -0.217    | -0.0327   | 0.716
BeRPA_A                       ( 1) | 1.39         | -0.203    | 0.832     | 0.403       | 0.571     | 0         | 0.0113    | -0.222    | -0.175    | 0         | 0         | 0         | -0.0159   | -0.113    | 0.0425    | 0.0514    | -0.0122
FrAbs_N                       (-1) | -1.29        | 0.000311  | -0.995    | 0.0088      | -0.118    | -0.137    | -0.0469   | 0.000997  | 0.0612    | -0.00893  | -4.81e-07 | 0         | -0.00452  | 0.000773  | -0.0238   | -0.0393   | 0.016
EMRecoUncorrFD                ( 1) | -1.21        | 0.0305    | -0.0213   | -0.25       | -0.29     | -0.206    | 0         | -0.475    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.475    | 0
flux_Nov17_11                 (-1) | 1.2          | -0.00497  | 1.01      | 0.00904     | 0.16      | 0.0694    | -0.000742 | -0.0403   | -0.052    | -0.00048  | -3.05e-07 | 0.0126    | 0.00025   | 0.000827  | -0.000622 | -0.00112  | 0.000294
flux_Nov17_18                 ( 1) | 1.19         | -0.0204   | 1.17      | -0.0735     | -0.0411   | 0.11      | -0.00416  | 0.0429    | 0.00924   | -0.00415  | -8.11e-07 | 0.0328    | 4.59e-05  | 0.00434   | -0.00197  | 0.000907  | 0.00158
ChargedHadRecoUncorrSqrtFD    (-1) | 1.14         | 0.000443  | 0.498     | 0.255       | 0.223     | 0.0884    | 0         | 0.0723    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0723    | 0
CCQEPauliSupViaKF             (-1) | 1.07         | -0.258    | 0.596     | 0.46        | 0.478     | 0         | 0.0154    | -0.22     | -0.149    | 0         | -1.09e-06 | 0         | -0.0197   | -0.142    | 0.0568    | 0.0572    | -0.0241
EMRecoResFD                   ( 1) | -1.07        | -0.00686  | 0.0416    | -0.393      | -0.202    | -0.0295   | 0         | -0.48     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.48     | 0
FrElas_N                      (-1) | 0.974        | -0.0245   | 0.665     | 0.143       | 0.133     | 0.00834   | -0.00445  | 0.0543    | 0         | 0         | 0         | 0         | 0         | 0         | 0.0263    | -0.0191   | 0.047
E2p2h_A_nu                    ( 1) | -0.934       | 0         | -0.0378   | -0.313      | -0.741    | 0         | 0         | 0.157     | 0.157     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
flux_Nov17_19                 ( 1) | -0.924       | -0.0123   | -0.85     | 0.0169      | -0.0241   | -0.0702   | 0.00367   | 0.0116    | 0.0108    | 0.00157   | 4.51e-07  | 0.00366   | -0.000203 | -0.00467  | 0.00195   | 0.000121  | -0.0016
