= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear  | XsecCorr
CCQEPauliSupViaKF             ( 1) | 4.07         | 3.86      | -0.0875   | -0.00106    | -1.1      | 0         | -0.000551 | 1.4       | 0.888     | 0         | -1.11e-06 | 0         | 0.251     | 1.14      | -0.835    | -0.0303   | 0
BeRPA_A                       (-1) | 2.93         | 2.91      | -0.11     | -0.00134    | -1.26     | 0         | -5.87e-05 | 1.4       | 1.03      | 0         | 0         | 0         | 0.195     | 0.86      | -0.638    | -0.0407   | 0
E2p2h_A_nubar                 (-1) | -1.71        | -2.29     | 0.0123    | 0.000121    | 0         | 0         | 4.07e-05  | 0.57      | 0         | 0         | 0         | 0         | -0.23     | 0.423     | 0.157     | 0.221     | 0
MaCCQE                        ( 1) | 1.06         | -1.99     | 0.928     | 0.011       | 2.98      | 0         | -0.000307 | -0.859    | -2.04     | 0         | 0         | 0         | -0.222    | 0.429     | 0.387     | 0.607     | 0
MaNCRES                       ( 1) | 0.913        | 0         | 0         | 0           | 0         | 1.14      | 0         | -0.228    | 0         | -0.228    | 0         | 0         | 0         | 0         | 0         | 0         | 0
FrInel_N                      (-1) | 0.893        | 0.556     | -0.102    | -0.00123    | 0.343     | 0.00664   | 0.00128   | 0.0893    | -0.0242   | 0.0398    | 1.31e-06  | 0         | 0.0153    | 0.0394    | -0.0341   | 0.0542    | 0
MvCCRES                       ( 1) | 0.81         | 0.0793    | 0.277     | 0.00326     | 0.657     | 0         | 0.000921  | -0.207    | -0.353    | 0         | -2.78e-06 | 0         | 0.0564    | 0.174     | -0.17     | 0.0882    | 0
E2p2h_B_nubar                 (-1) | -0.774       | -1.1      | 0.0158    | 0.000155    | 0         | 0         | 5.71e-05  | 0.309     | 0         | 0         | 0         | 0         | -0.111    | 0.263     | 0.0522    | 0.105     | 0
BeRPA_D                       (-1) | -0.648       | 0.124     | -0.26     | -0.00303    | -0.614    | 0         | -2.06e-05 | 0.105     | 0.431     | 0         | 0         | 0         | 0.033     | -0.0738   | -0.0771   | -0.207    | 0
FrAbs_pi                      (-1) | -0.59        | 0.0271    | -0.0421   | -0.000469   | -0.487    | 0.35      | 0.00759   | -0.445    | 0.107     | -0.0515   | 1.36e-05  | 0         | 0.247     | -0.313    | 0.134     | -0.573    | 0
E2p2h_A_nu                    ( 1) | -0.563       | 0         | -0.00634  | -9.19e-05   | -1.16     | 0         | 0         | 0.606     | 0.606     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
FrCEx_N                       (-1) | -0.538       | -0.0907   | 0.0505    | 0.000543    | -0.184    | -0.011    | 0.000119  | -0.303    | -0.104    | -0.034    | 2.58e-06  | 0         | 0.0214    | -0.095    | -0.0582   | -0.0326   | 0
BeRPA_B                       (-1) | 0.466        | 1.08      | -0.194    | -0.00231    | -1.11     | 0         | -3.61e-05 | 0.695     | 0.786     | 0         | 0         | 0         | 0.104     | 0.236     | -0.378    | -0.0497   | 0
