= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MuonRecoResFD                 (-1) | -25.9        | 0.0152    | -23.8     | 0.261       | 0.0776    | -2.56     | 0         | 0.0923    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0923
MaCCQE                        ( 1) | 10.8         | -0.199    | 8.22      | 1.38        | 1.63      | 0         | 0.0732    | -0.303    | -0.464    | -0.0267   | -0.0267   | -0.0267   | -0.0477   | -0.073    | 0.0177    | 0.167
flux_Nov17_13                 ( 1) | 4.89         | -0.0127   | 2.5       | 0.968       | 1.35      | 0.623     | 0.0611    | -0.608    | -0.385    | -0.0532   | -0.00109  | -0.185    | -0.00592  | -0.014    | 0.00581   | 0.0147
MvCCRES                       ( 1) | 3.89         | 0.00115   | 3.22      | 0.306       | 0.351     | 0         | 0.0139    | -0.00257  | -0.102    | 0.0122    | 0.0122    | 0.0122    | 0.0189    | 0.131     | 0.00688   | -0.00775
flux_Nov17_14                 ( 1) | -3.04        | 0.0609    | -2.41     | 0.0405      | -0.39     | -0.412    | -0.0178   | 0.0872    | 0.136     | 0.0299    | 0.000876  | -0.0862   | -0.00468  | -0.00958  | 0.00599   | 0.0215
BeRPA_D                       (-1) | -2.97        | 0.016     | -2.3      | -0.35       | -0.359    | 0         | -0.0117   | 0.0374    | 0.0999    | 0.00198   | 0.00198   | 0.00198   | 0.00513   | -0.00337  | -0.00273  | -0.0529
RecoEnergyInvSqrtFD           ( 1) | -2.42        | 0.0258    | -0.374    | -0.505      | -0.609    | -0.324    | -0.0156   | -0.616    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.616
ChargedHadRecoUncorrInvSqrtFD ( 1) | -2.39        | -0.00203  | -0.753    | -0.38       | -0.614    | -0.324    | -0.0293   | -0.291    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.291
BeRPA_B                       ( 1) | 2.34         | -0.0877   | 1.65      | 0.377       | 0.556     | 0         | 0.00333   | -0.149    | -0.157    | -0.014    | -0.014    | -0.014    | -0.0229   | -0.0856   | 0.014     | 0.048
MaNCRES                       ( 1) | 1.77         | 0         | 0         | 0           | 0         | 1.99      | 0         | -0.228    | 0         | -0.228    | 0         | 0         | 0         | 0         | 0         | 0
EMRecoUncorrInvSqrtFD         (-1) | 1.69         | -0.0284   | 0.107     | 0.383       | 0.469     | 0.177     | 0         | 0.584     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.584
RecoEnergyScaleFD             ( 1) | -1.64        | 0.0195    | -0.306    | -0.25       | -0.367    | -0.265    | -0.0156   | -0.456    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.456
ChargedHadRecoUncorrFD        (-1) | 1.62         | -0.00276  | 0.744     | 0.255       | 0.334     | 0.147     | 0         | 0.144     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.144
flux_Nov17_10                 ( 1) | 1.58         | 0.00246   | 0.966     | 0.217       | 0.272     | 0.242     | 0.0169    | -0.137    | -0.0805   | -0.0199   | 4.85e-07  | -0.0371   | -4.77e-08 | 2.43e-06  | 1e-08     | 2.3e-07
nuenumu_xsec_ratio            (-1) | 1.41         | -0.134    | 0         | 0.503       | 0.595     | 0         | 0         | 0.442     | 0.716     | 0.716     | 0.716     | 0.716     | 0.716     | 0.716     | 0.476     | 0.682
BeRPA_A                       ( 1) | 1.39         | -0.203    | 0.832     | 0.403       | 0.571     | 0         | 0.0113    | -0.222    | -0.187    | -0.0122   | -0.0122   | -0.0122   | -0.0281   | -0.125    | 0.0303    | 0.0392
FrAbs_N                       (-1) | -1.29        | 0.000311  | -0.995    | 0.0088      | -0.118    | -0.137    | -0.0469   | 0.000997  | 0.0775    | 0.00708   | 0.016     | 0.016     | 0.0115    | 0.0167    | -0.00784  | -0.0233
EMRecoUncorrFD                ( 1) | -1.21        | 0.0305    | -0.0213   | -0.25       | -0.29     | -0.206    | 0         | -0.475    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.475
