= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MuonRecoResFD                 ( 1) | -11.4        | -0.997    | -2.69     | -0.00954    | -3.38     | -3.34     | -0.000938 | -0.971    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.971
ChargedHadRecoUncorrInvSqrtFD (-1) | 6.05         | 0.135     | 0.423     | 0.00151     | 1.48      | 2.03      | 0.000116  | 1.98      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.98
ERecoScaleMuLArInvSqrtND      ( 1) | 4.56         | 0         | 0         | 0           | 0         | 0         | 0         | 4.56      | 0.644     | 0         | 0         | 0         | 3.87      | 0         | 0         | 0
MaCCQE                        ( 1) | 4.53         | -0.988    | 3.17      | 0.0106      | 2.99      | 0         | -0.000309 | -0.663    | -1.49     | 0         | 0         | 0         | -0.179    | 0.11      | 0.314     | 0.587
ERecoScaleMuLArInvSqrtFD      (-1) | 4.22         | -0.342    | 0.00227   | 7.5e-06     | 1.16      | 0         | 0         | 3.4       | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 3.4
ChargedHadRecoUncorrFD        (-1) | 3.84         | 0.151     | 0.333     | 0.00118     | 0.83      | 1.63      | 0.000116  | 0.891     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.891
ERecoScaleMuLArND             ( 1) | 3.52         | 0         | 0         | 0           | 0         | 0         | 0         | 3.52      | 0.485     | 0         | 0         | 0         | 3         | 0         | 0         | 0
ERecoScaleMuLArFD             (-1) | 2.89         | -0.318    | 0.00227   | 7.5e-06     | 0.78      | 0         | 0         | 2.43      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.43
ERecoScaleMuLArSqrtND         ( 1) | 2.63         | 0         | 0         | 0           | 0         | 0         | 0         | 2.63      | 0.454     | 0         | 0         | 0         | 2.16      | 0         | 0         | 0
RecoEnergyInvSqrtFD           (-1) | 2.45         | 0.152     | 0.157     | 0.000563    | 0.578     | 0.912     | 0.000116  | 0.655     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.655
flux_Nov17_13                 ( 1) | 2.44         | 0.544     | 0.954     | 0.00329     | 2.54      | 0.822     | 0.00391   | -2.42     | -1.22     | -0.0536   | -4.64e-06 | -1.22     | -0.0362   | -0.0348   | -9.99e-05 | 0.0913
ChargedHadRecoUncorrSqrtFD    (-1) | 2.28         | 0.118     | 0.185     | 0.000661    | 0.514     | 1.15      | 0.000116  | 0.312     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.312
MaNCRES                       ( 1) | 2.26         | 0         | 0         | 0           | 0         | 2.46      | 0         | -0.195    | 0         | -0.195    | 0         | 0         | 0         | 0         | 0         | 0
ChargedHadRecoUncorrInvSqrtND (-1) | -2.14        | 0         | 0         | 0           | 0         | 0         | 0         | -2.14     | -0.767    | -0.106    | 2.24e-05  | 0         | -1.28     | 0         | 0         | 0
ERecoScaleMuLArSqrtFD         (-1) | 2.13         | -0.167    | 0.00202   | 6.77e-06    | 0.526     | 0         | 0         | 1.77      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.77
MvCCRES                       ( 1) | 1.9          | 0.113     | 1.2       | 0.00401     | 0.653     | 0         | 0.000923  | -0.066    | -0.281    | 0         | -3.5e-06  | 0         | 0.0471    | 0.216     | -0.138    | 0.092
CCQEPauliSupViaKF             ( 1) | 1.79         | 1.94      | -0.243    | -0.000824   | -1.11     | 0         | -0.000552 | 1.21      | 0.593     | 0         | 9.55e-07  | 0         | 0.199     | 1.05      | -0.622    | 0.000549
RecoEnergyScaleFD             (-1) | 1.64         | 0.117     | 0.11      | 0.000395    | 0.417     | 0.712     | 0.000116  | 0.287     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.287
flux_Nov17_14                 (-1) | 1.6          | -0.0447   | 0.91      | 0.00321     | 0.78      | 0.524     | 0.0035    | -0.579    | -0.446    | -0.03     | -6.95e-06 | -0.0237   | 0.0433    | -0.0204   | 0.00953   | -0.114
BeRPA_D                       (-1) | -1.43        | 0.0458    | -0.888    | -0.00294    | -0.617    | 0         | -2.06e-05 | 0.0364    | 0.322     | 0         | 0         | 0         | 0.0267    | -0.0507   | -0.0617   | -0.199
ChargedHadRecoUncorrND        (-1) | -1.12        | 0         | 0         | 0           | 0         | 0         | 0         | -1.12     | -0.371    | -0.092    | 2.24e-05  | 0         | -0.662    | 0         | 0         | 0
