= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MuonRecoResFD                 (-1) | -26          | 0.0236    | -23.8     | 0.261       | 0.0776    | -2.56     | 0         | 0.0698    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0698
ChargedHadRecoUncorrInvSqrtFD ( 1) | -1.99        | -0.00389  | -0.482    | -0.38       | -0.609    | -0.236    | -0.0293   | -0.247    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.247
EMRecoUncorrInvSqrtFD         (-1) | 1.58         | -0.00113  | 0.0439    | 0.383       | 0.47      | 0.147     | 0         | 0.54      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.54
ChargedHadRecoUncorrFD        ( 1) | -1.47        | -0.00369  | -0.284    | -0.38       | -0.411    | -0.206    | -0.0293   | -0.152    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.152
RecoEnergyInvSqrtFD           (-1) | 1.4          | -7.23e-05 | 0         | 0.383       | 0.527     | 0         | 0         | 0.49      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.49
EMRecoUncorrFD                ( 1) | -1.19        | -0.0018   | 0         | -0.25       | -0.29     | -0.206    | 0         | -0.443    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.443
EMRecoResFD                   ( 1) | -1.1         | 0.0137    | -0.0125   | -0.393      | -0.202    | -0.0295   | 0         | -0.478    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.478
RecoEnergyScaleFD             (-1) | 1.09         | 6.99e-05  | 0         | 0.255       | 0.431     | 0         | 0         | 0.405     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.405
ChargedHadRecoUncorrSqrtFD    ( 1) | -1.02        | -0.0038   | -0.201    | -0.256      | -0.321    | -0.118    | -0.0293   | -0.0907   | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.0907
EMRecoUncorrSqrtFD            (-1) | 0.694        | 4.19e-05  | 0.00182   | 0.129       | 0.225     | 0.059     | 0         | 0.28      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.28
ERecoScaleMuLArInvSqrtND      ( 1) | 0.477        | 0         | 0         | 0           | 0         | 0         | 0         | 0.477     | 0.0845    | 0         | 0         | 0         | 0.389     | 0         | 0         | 0
ChargedHadRecoResFD           ( 1) | -0.446       | 0.000151  | -0.281    | 0           | -0.0942   | -0.0295   | 0         | -0.0412   | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.0412
ChargedHadRecoUncorrInvSqrtND ( 1) | 0.425        | 0         | 0         | 0           | 0         | 0         | 0         | 0.425     | 0.125     | 0.117     | -1.87e-05 | 0         | 0.178     | 0         | 0         | 0
RecoEnergySqrtFD              (-1) | 0.418        | 0.000641  | 0         | 0.129       | 0.163     | 0         | 0         | 0.125     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.125
ERecoScaleMuLArSqrtND         ( 1) | 0.396        | 0         | 0         | 0           | 0         | 0         | 0         | 0.396     | 0.1       | 0         | 0         | 0         | 0.294     | 0         | 0         | 0
ERecoScaleMuLArND             ( 1) | 0.392        | 0         | 0         | 0           | 0         | 0         | 0         | 0.392     | 0.053     | 0         | 0         | 0         | 0.339     | 0         | 0         | 0
ChargedHadRecoUncorrND        (-1) | -0.358       | 0         | 0         | 0           | 0         | 0         | 0         | -0.358    | -0.152    | -0.0988   | -4.94e-05 | 0         | -0.109    | 0         | 0         | 0
ChargedHadRecoUncorrSqrtND    (-1) | -0.244       | 0         | 0         | 0           | 0         | 0         | 0         | -0.244    | -0.0898   | -0.0941   | -4.94e-05 | 0         | -0.0608   | 0         | 0         | 0
RecoEnergyInvSqrtND           (-1) | -0.191       | 0         | 0         | 0           | 0         | 0         | 0         | -0.191    | -0.11     | 0         | -5.5e-05  | 0         | -0.0823   | 0         | 0         | 0
MuonRecoResND                 ( 1) | 0.156        | 0         | 0         | 0           | 0         | 0         | 0         | 0.156     | -0.0116   | 0.168     | -4.71e-05 | 0         | 0.000363  | 0         | 0         | 0
RecoEnergyScaleND             (-1) | -0.112       | 0         | 0         | 0           | 0         | 0         | 0         | -0.112    | -0.0612   | 0         | -4.88e-05 | 0         | -0.0514   | 0         | 0         | 0
ERecoScaleMuLArFD             (-1) | 0.105        | 0         | 0         | 0           | 0         | 0         | 0.105     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
ERecoScaleMuLArInvSqrtFD      (-1) | 0.105        | 0         | 0         | 0           | 0         | 0         | 0.105     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
RecoEnergySqrtND              ( 1) | 0.0377       | 0         | 0         | 0           | 0         | 0         | 0         | 0.0377    | 0.0226    | 0         | -4.99e-06 | 0         | 0.015     | 0         | 0         | 0
EMRecoUncorrInvSqrtND         ( 1) | 0.0281       | 0         | 0         | 0           | 0         | 0         | 0         | 0.0281    | 0.0171    | -0.00234  | -6.84e-06 | 0         | 0.0134    | 0         | 0         | 0
ERecoScaleMuLArSqrtFD         ( 1) | -0.0156      | 0         | 0         | 0           | 0         | 0         | -0.0156   | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0
EMRecoUncorrND                (-1) | -0.0141      | 0         | 0         | 0           | 0         | 0         | 0         | -0.0141   | -0.00577  | 0.00043   | -6.5e-05  | 0         | -0.00878  | 0         | 0         | 0
EMRecoUncorrSqrtND            ( 1) | 0.0106       | 0         | 0         | 0           | 0         | 0         | 0         | 0.0106    | 0.00174   | 0.00306   | 3.26e-06  | 0         | 0.00575   | 0         | 0         | 0
ChargedHadRecoResND           (-1) | -0.00879     | 0         | 0         | 0           | 0         | 0         | 0         | -0.00879  | 0.0015    | -0.00867  | -1.19e-05 | 0         | -0.00161  | 0         | 0         | 0
EMRecoResND                   (-1) | 0.00362      | 0         | 0         | 0           | 0         | 0         | 0         | 0.00362   | -0.00152  | 0.0027    | -4.94e-05 | 0         | 0.00248   | 0         | 0         | 0
NuOnECCBkgSyst                ( 1) | 0            | 0         | 0         | 0           | 0         | 0         | 0         | 0         | 0         | 0         | 0.000187  | 0         | 0         | 0         | 0         | 0
NuOnENCBkgSyst                ( 1) | 0            | 0         | 0         | 0           | 0         | 0         | 0         | 0         | 0         | -0.134    | 0         | 0         | 0         | 0         | 0         | 0
NuOnERecoEffSyst              ( 1) | 0            | 0         | 0         | 0           | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -7.86e-05 | 0         | 0

= Evis bin 2: 0.5 - 1GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MuonRecoResFD                 ( 1) | 3.39         | -0.00162  | 4.01      | -0.00514    | -0.12     | -0.412    | 0         | -0.08     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.08
EMRecoUncorrFD                ( 1) | -2.65        | 0.00606   | -0.093    | -0.997      | -0.662    | -0.11     | 0         | -0.791    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.791
EMRecoUncorrInvSqrtFD         ( 1) | -2.64        | 0.00865   | -0.0921   | -1.11       | -0.622    | -0.11     | 0         | -0.717    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.717
EMRecoUncorrSqrtFD            ( 1) | -2.49        | 0.00607   | -0.0801   | -0.99       | -0.595    | -0.11     | 0         | -0.719    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.719
RecoEnergyScaleFD             ( 1) | -2.26        | 0.00485   | 0         | -0.872      | -0.726    | 0         | 0.0145    | -0.686    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.686
ChargedHadRecoUncorrSqrtFD    (-1) | 1.85         | -0.0108   | 0.054     | 0.483       | 0.555     | 0.494     | 0         | 0.272     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.272
ChargedHadRecoUncorrFD        (-1) | 1.82         | -0.0106   | -0.0898   | 0.483       | 0.651     | 0.467     | 0         | 0.32      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.32
ChargedHadRecoUncorrInvSqrtFD (-1) | 1.81         | -0.00827  | -0.223    | 0.361       | 0.663     | 0.549     | 0.112     | 0.359     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.359
RecoEnergyInvSqrtFD           ( 1) | -1.74        | 0.0051    | 0         | -0.62       | -0.586    | 0         | 0.0145    | -0.548    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.548
RecoEnergySqrtFD              ( 1) | -1.51        | 0.00447   | 0         | -0.733      | -0.426    | 0         | 0         | -0.36     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.36
