= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)        | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MaCCQE                      ( 1) | 11.2         | -0.00773  | 8.22      | 1.38        | 1.63      | 0         | 0.0732    | -0.0489   | -0.363    | -0.0216   | -0.0216   | -0.0216   | -0.0389   | 0.0922    | 0.0194    | 0.165
flux_Nov17_13               ( 1) | 5.04         | 0.00121   | 2.5       | 0.968       | 1.35      | 0.623     | 0.0611    | -0.469    | -0.326    | -0.0726   | -0.000956 | -0.0794   | -0.00572  | -0.0167   | 0.00455   | 0.0138
MvCCRES                     ( 1) | 3.84         | -0.00505  | 3.22      | 0.306       | 0.351     | 0         | 0.0139    | -0.0403   | -0.131    | 0.0109    | 0.0109    | 0.0109    | 0.0193    | 0.121     | 0.00634   | -0.0107
BeRPA_D                     (-1) | -3.03        | 0.000335  | -2.3      | -0.35       | -0.359    | 0         | -0.0117   | -0.0121   | 0.0823    | 0.00191   | 0.00191   | 0.00191   | 0.0049    | -0.0367   | -0.00323  | -0.051
flux_Nov17_14               ( 1) | -3           | -0.00168  | -2.41     | 0.0405      | -0.39     | -0.412    | -0.0178   | 0.19      | 0.152     | 0.0412    | 0.000179  | -0.00487  | -0.0053   | -0.0138   | 0.00449   | 0.0194
BeRPA_B                     (-1) | -2.53        | 0.0036    | -1.65     | -0.377      | -0.556    | 0         | -0.00333  | 0.0433    | 0.116     | 0.0119    | 0.0119    | 0.0119    | 0.02      | 0.0213    | -0.0135   | -0.0517
MaNCRES                     ( 1) | 1.7          | 0         | 0         | 0           | 0         | 1.99      | 0         | -0.297    | 0         | -0.297    | 0         | 0         | 0         | 0         | 0         | 0
BeRPA_A                     ( 1) | 1.62         | -0.0153   | 0.832     | 0.403       | 0.571     | 0         | 0.0113    | -0.179    | -0.145    | -0.00902  | -0.00902  | -0.00902  | -0.0216   | -0.114    | 0.0247    | 0.0406
flux_Nov17_10               ( 1) | 1.61         | -0.00128  | 0.966     | 0.217       | 0.272     | 0.242     | 0.0169    | -0.103    | -0.0743   | -0.0269   | 1.86e-05  | -0.00199  | -3.77e-08 | 4.46e-07  | 1.9e-08   | 3.64e-07
nuenumu_xsec_ratio          (-1) | 1.37         | -0.0297   | 0         | 0.503       | 0.595     | 0         | 0         | 0.305     | 0.499     | 0.499     | 0.499     | 0.499     | 0.499     | 0.499     | 0.335     | 0.468
FrAbs_N                     (-1) | -1.35        | 0.000437  | -0.995    | 0.0088      | -0.118    | -0.137    | -0.0469   | -0.0582   | 0.076     | -0.00266  | 0.00923   | 0.00922   | 0.00511   | -0.0531   | -0.00851  | -0.0289
