= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MuonRecoResFD                 ( 1) | -11.4        | -0.896    | -2.69     | -0.00954    | -3.38     | -3.34     | -0.000938 | -1.06     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -1.06
ChargedHadRecoUncorrInvSqrtFD (-1) | 6.55         | 0.0413    | 0.443     | 0.00159     | 1.61      | 1.77      | 0.000116  | 2.68      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.68
ERecoScaleMuLArInvSqrtFD      (-1) | 4.46         | 0.0278    | 0.00227   | 7.5e-06     | 1.16      | 0         | 0         | 3.27      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 3.27
ChargedHadRecoUncorrFD        (-1) | 4.38         | 0.0374    | 0.369     | 0.00132     | 1.01      | 1.3       | 0.000116  | 1.66      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.66
ERecoScaleMuLArInvSqrtND      ( 1) | 3.85         | 0         | 0         | 0           | 0         | 0         | 0         | 3.85      | 0.572     | 0         | 0         | 0         | 3.23      | 0         | 0         | 0
ERecoScaleMuLArND             ( 1) | 3.1          | 0         | 0         | 0           | 0         | 0         | 0         | 3.1       | 0.54      | 0         | 0         | 0         | 2.53      | 0         | 0         | 0
ERecoScaleMuLArFD             (-1) | 3.1          | -0.00617  | 0.00227   | 7.5e-06     | 0.78      | 0         | 0         | 2.33      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 2.33
ChargedHadRecoUncorrSqrtFD    (-1) | 2.81         | 0.0344    | 0.263     | 0.000943    | 0.7       | 0.83      | 0.000116  | 0.98      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.98
ERecoScaleMuLArSqrtND         ( 1) | 2.53         | 0         | 0         | 0           | 0         | 0         | 0         | 2.53      | 0.671     | 0         | 0         | 0         | 1.84      | 0         | 0         | 0
ERecoScaleMuLArSqrtFD         (-1) | 2.2          | 0.00338   | 0.00202   | 6.77e-06    | 0.526     | 0         | 0         | 1.67      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 1.67
ChargedHadRecoUncorrInvSqrtND ( 1) | 1.96         | 0         | 0         | 0           | 0         | 0         | 0         | 1.96      | 0.784     | 0.0709    | 5.17e-05  | 0         | 1.09      | 0         | 0         | 0
RecoEnergyInvSqrtFD           (-1) | 1.37         | 0.149     | 0.00307   | 1.1e-05     | 0.578     | 0         | 0.000116  | 0.644     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.644
ChargedHadRecoUncorrND        (-1) | -0.886       | 0         | 0         | 0           | 0         | 0         | 0         | -0.886    | -0.128    | -0.12     | 9.24e-05  | 0         | -0.639    | 0         | 0         | 0
RecoEnergyScaleFD             (-1) | 0.832        | 0.12      | 0.00193   | 6.54e-06    | 0.417     | 0         | 0.000116  | 0.293     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.293
RecoEnergyInvSqrtND           ( 1) | 0.707        | 0         | 0         | 0           | 0         | 0         | 0         | 0.707     | 0.207     | 0         | 1.58e-05  | 0         | 0.497     | 0         | 0         | 0
ChargedHadRecoUncorrSqrtND    (-1) | -0.681       | 0         | 0         | 0           | 0         | 0         | 0         | -0.681    | -0.352    | -0.0289   | 9.24e-05  | 0         | -0.302    | 0         | 0         | 0
RecoEnergyScaleND             (-1) | -0.522       | 0         | 0         | 0           | 0         | 0         | 0         | -0.522    | -0.232    | 0         | 9.46e-05  | 0         | -0.29     | 0         | 0         | 0
ChargedHadRecoResFD           ( 1) | -0.425       | -0.0329   | -0.0403   | -0.000137   | -0.0324   | -0.265    | 0         | -0.0543   | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.0543
RecoEnergySqrtFD              ( 1) | -0.253       | -0.0104   | 0         | 0           | -0.15     | 0         | 0         | -0.0927   | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.0927
RecoEnergySqrtND              ( 1) | 0.222        | 0         | 0         | 0           | 0         | 0         | 0         | 0.222     | 0.151     | 0         | 1.99e-05  | 0         | 0.0711    | 0         | 0         | 0
EMRecoUncorrInvSqrtFD         (-1) | 0.2          | -0.000283 | 0.0438    | 0.00015     | 0.00178   | 0.0639    | 0         | 0.0902    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0902
MuonRecoResND                 (-1) | -0.177       | 0         | 0         | 0           | 0         | 0         | 0         | -0.177    | 0.0178    | -0.177    | 7.19e-05  | 0         | -0.0182   | 0         | 0         | 0
EMRecoUncorrFD                (-1) | 0.161        | -0.000283 | 0.0343    | 0.000115    | 0         | 0.0365    | 0         | 0.0901    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0901
EMRecoUncorrInvSqrtND         (-1) | -0.101       | 0         | 0         | 0           | 0         | 0         | 0         | -0.101    | -0.0288   | -0.00193  | 7.9e-05   | 0         | -0.0701   | 0         | 0         | 0
ChargedHadRecoResND           (-1) | -0.0791      | 0         | 0         | 0           | 0         | 0         | 0         | -0.0791   | -0.0832   | 0.00976   | -2.12e-05 | 0         | -0.00565  | 0         | 0         | 0
EMRecoUncorrSqrtFD            (-1) | 0.067        | 9.2e-05   | 0.0249    | 8.16e-05    | 0         | 0.00912   | 0         | 0.0329    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0329
EMRecoUncorrND                (-1) | -0.0603      | 0         | 0         | 0           | 0         | 0         | 0         | -0.0603   | -0.0169   | 0.00187   | 7.1e-05   | 0         | -0.0453   | 0         | 0         | 0
EMRecoUncorrSqrtND            ( 1) | 0.0433       | 0         | 0         | 0           | 0         | 0         | 0         | 0.0433    | 0.0125    | 0.00427   | 8.41e-06  | 0         | 0.0265    | 0         | 0         | 0
EMRecoResFD                   ( 1) | 0.0345       | -0.000359 | 0.0133    | 4.12e-05    | 0         | 0.0182    | -0.000938 | 0.00424   | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.00424
EMRecoResND                   ( 1) | -0.0242      | 0         | 0         | 0           | 0         | 0         | 0         | -0.0242   | -0.0115   | 0.00138   | 8.88e-06  | 0         | -0.0141   | 0         | 0         | 0
NuOnECCBkgSyst                ( 1) | 0            | 0         | 0         | 0           | 0         | 0         | 0         | 0         | 0         | 0         | -8.62e-05 | 0         | 0         | 0         | 0         | 0
NuOnENCBkgSyst                ( 1) | 0            | 0         | 0         | 0           | 0         | 0         | 0         | 0         | 0         | -0.0931   | 0         | 0         | 0         | 0         | 0         | 0
NuOnERecoEffSyst              ( 1) | 0            | 0         | 0         | 0           | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -3.47e-06 | 0         | 0

= Evis bin 2: 0.5 - 1GeV =
Syst (sigma) \ impact (%)          | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
ERecoScaleMuLArFD             ( 1) | -3.38        | -0.0143   | -0.000553 | -2.69e-05   | -0.562    | 0         | 0         | -2.8      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -2.8
ERecoScaleMuLArInvSqrtFD      ( 1) | -3.31        | -0.0148   | -0.000209 | -1.09e-05   | -0.558    | 0         | 0         | -2.74     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -2.74
ERecoScaleMuLArSqrtFD         ( 1) | -3.29        | -0.0126   | -0.000639 | -3.3e-05    | -0.533    | 0         | 0         | -2.75     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -2.75
ChargedHadRecoUncorrInvSqrtFD ( 1) | -2.46        | -0.000188 | 0.017     | 0.000772    | -0.646    | -0.0255   | -0.00106  | -1.81     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -1.81
ChargedHadRecoUncorrInvSqrtND (-1) | -2.09        | 0         | 0         | 0           | 0         | 0         | 0         | -2.09     | -0.59     | -0.214    | 0.000111  | 0         | -1.28     | 0         | 0         | 0
ChargedHadRecoUncorrFD        ( 1) | -1.94        | -0.00038  | 0.0036    | 0.000255    | -0.576    | -0.0781   | -0.000891 | -1.29     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -1.29
ChargedHadRecoUncorrND        (-1) | -1.64        | 0         | 0         | 0           | 0         | 0         | 0         | -1.64     | -0.536    | -0.199    | 0.000111  | 0         | -0.9      | 0         | 0         | 0
ChargedHadRecoUncorrSqrtFD    ( 1) | -1.46        | -0.000495 | -0.00904  | -0.000338   | -0.381    | -0.115    | -0.000635 | -0.954    | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.954
ERecoScaleMuLArSqrtND         (-1) | -1.45        | 0         | 0         | 0           | 0         | 0         | 0         | -1.45     | -0.431    | 0         | 0         | 0         | -1.02     | 0         | 0         | 0
ERecoScaleMuLArND             (-1) | -1.4         | 0         | 0         | 0           | 0         | 0         | 0         | -1.4      | -0.449    | 0         | 0         | 0         | -0.95     | 0         | 0         | 0
ERecoScaleMuLArInvSqrtND      (-1) | -1.38        | 0         | 0         | 0           | 0         | 0         | 0         | -1.38     | -0.539    | 0         | 0         | 0         | -0.833    | 0         | 0         | 0
RecoEnergyInvSqrtFD           ( 1) | -1.11        | -0.00924  | -0.000309 | -1.35e-05   | -0.295    | 0         | 0.000316  | -0.81     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | -0.81
ChargedHadRecoUncorrSqrtND    ( 1) | 1.1          | 0         | 0         | 0           | 0         | 0         | 0         | 1.1       | 0.336     | 0.187     | 8.65e-06  | 0         | 0.575     | 0         | 0         | 0
RecoEnergyInvSqrtND           (-1) | -0.977       | 0         | 0         | 0           | 0         | 0         | 0         | -0.977    | -0.354    | 0         | 0.000109  | 0         | -0.621    | 0         | 0         | 0
