= Evis bin 1: 0 - 0.5GeV =
Syst (sigma) \ impact (%)        | TotPRISMpred | FluxCorr  | FDnuTauCC | FDintrinsic | FD WS bkg | FD NC bkg | FD WL bkg | NDdataLC  | Sub ND WS | Sub ND NC | Sub ND WL | LCwgtCalc | ND Unfold | NDEffCorr | FDEffCorr | FD Smear
MaCCQE                      ( 1) | 5.86         | 0.0827    | 3.17      | 0.0106      | 2.99      | 0         | -0.000309 | -0.399    | -1.28     | 0         | 0         | 0         | -0.161    | 0.158     | 0.251     | 0.644
flux_Nov17_13               (-1) | -3.67        | -0.0731   | -0.954    | -0.00329    | -2.54     | -0.822    | -0.00391  | 0.72      | 0.944     | 0.0534    | 1.36e-05  | -0.269    | 0.0444    | 0.0612    | -0.00207  | -0.106
MaNCRES                     ( 1) | 2.28         | 0         | 0         | 0           | 0         | 2.46      | 0         | -0.179    | 0         | -0.179    | 0         | 0         | 0         | 0         | 0         | 0
MvCCRES                     ( 1) | 1.85         | 0.0863    | 1.2       | 0.00401     | 0.653     | 0         | 0.000923  | -0.097    | -0.259    | 0         | -1.33e-05 | 0         | 0.0599    | 0.133     | -0.11     | 0.0814
flux_Nov17_14               (-1) | 1.62         | 0.0877    | 0.91      | 0.00321     | 0.78      | 0.524     | 0.0035    | -0.684    | -0.387    | -0.0344   | -3.52e-05 | -0.228    | 0.0466    | 0.0248    | 0.00362   | -0.111
BeRPA_D                     (-1) | -1.44        | -0.0252   | -0.888    | -0.00294    | -0.617    | 0         | -2.06e-05 | 0.0882    | 0.302     | 0         | 0         | 0         | 0.0268    | 0.0238    | -0.0488   | -0.215
BeRPA_B                     (-1) | -1.39        | -0.0234   | -0.602    | -0.00202    | -1.12     | 0         | -3.59e-05 | 0.356     | 0.432     | 0         | 0         | 0         | 0.0752    | 0.116     | -0.207    | -0.0587
FrCEx_N                     ( 1) | 1.26         | 0.0316    | 0.000178  | 4.83e-05    | 0.174     | 0.0762    | -0.000174 | 0.98      | 0.551     | 0.024     | -1.38e-06 | 0         | -0.00996  | 0.397     | 0.0174    | 0.00102
E2p2h_A_nu                  (-1) | 1.14         | 0         | 0.0171    | 6.71e-05    | 1.17      | 0         | 0         | -0.0433   | -0.0433   | 0         | 0         | 0         | 0         | 0         | 0         | 0
flux_Nov17_10               ( 1) | 1.01         | 0.0331    | 0.367     | 0.00123     | 0.51      | 0.315     | 0.0014    | -0.214    | -0.213    | -0.0183   | -8.96e-06 | 0.0174    | -1.09e-09 | 4.47e-06  | 3.06e-06  | 2.93e-06
BeRPA_A                     ( 1) | 0.908        | -0.000936 | 0.318     | 0.00108     | 1.27      | 0         | 5.84e-05  | -0.68     | -0.406    | 0         | 0         | 0         | -0.119    | -0.468    | 0.301     | 0.0144
NR_nubar_p_NC_1Pi           ( 1) | 0.902        | 0         | 0         | 0           | 0         | 0.946     | 0         | -0.0446   | 0         | -0.0446   | 0         | 0         | 0         | 0         | 0         | 0
flux_Nov17_6                ( 1) | -0.826       | -0.0133   | 0.0735    | 0.000232    | -0.0197   | 0.0267    | 3.3e-05   | -0.894    | 0.0168    | -0.00083  | -1.67e-06 | -0.886    | -0.000547 | -0.00636  | 0.000412  | -0.00392
flux_Nov17_11               ( 1) | -0.724       | -0.029    | -0.377    | -0.00137    | -0.384    | -0.0788   | -0.000822 | 0.147     | 0.12      | 0.00362   | 1.12e-05  | 0.0174    | -0.00214  | 0.00602   | 0.000543  | 0.00363
FrElas_N                    (-1) | 0.638        | 0.0548    | 0.283     | 0.00104     | -0.0737   | 0.258     | -0.00283  | 0.118     | 0         | 0         | 0         | 0         | 0         | 0         | -0.0543   | 0.173
flux_Nov17_18               (-1) | -0.618       | -0.065    | -0.441    | -0.00156    | -0.0258   | -0.13     | 0.000496  | 0.0451    | 0.0103    | 0.00556   | -3e-06    | 0.0451    | 0.00106   | -0.0127   | 0.00435   | -0.00867
Theta_Delta2Npi             ( 1) | 0.609        | 0.0159    | 0.133     | 0.000495    | 0.245     | 0.382     | -0.00131  | -0.166    | -0.0884   | -0.00836  | 0         | 0         | -0.0319   | 0.045     | 0.0298    | -0.113
CCQEPauliSupViaKF           (-1) | 0.603        | -0.0209   | 0.243     | 0.000824    | 1.11      | 0         | 0.000552  | -0.731    | -0.317    | 0         | 2.23e-06  | 0         | -0.147    | -0.627    | 0.379     | -0.0112
flux_Nov17_16               ( 1) | -0.595       | 0.0407    | -0.0909   | -0.000459   | -0.8      | -0.112    | 5.82e-05  | 0.368     | 0.326     | 0.00234   | -1.21e-05 | 0.0253    | -0.00795  | 0.00704   | -0.00533  | 0.0222
flux_Nov17_2                ( 1) | -0.586       | -0.0444   | -0.00664  | -1.45e-05   | -0.00706  | -0.00673  | -3.7e-05  | -0.521    | -0.0345   | 0.000469  | 4.16e-07  | -0.467    | -0.000433 | -0.0184   | 9.56e-05  | 0.00127
E2p2h_B_nu                  (-1) | 0.584        | 0         | 0.0289    | 0.000114    | 0.589     | 0         | 0         | -0.0341   | -0.0341   | 0         | 0         | 0         | 0         | 0         | 0         | 0
C12ToAr40_2p2hScaling_nu    (-1) | -0.571       | 0         | -0.126    | -0.000496   | -0.507    | 0         | 0         | 0.0631    | 0.0631    | 0         | 0         | 0         | 0         | 0         | 0         | 0
